sample_id,treatment,duration,died
OC98,H,7,1
OC93,H,26,0
OC92,H,26,0
OC78,H,26,0
OC73,H,1,1
OC70,H,3,0
OC6,H,18,1
OC57,H,26,0
OC40,H,26,0
OC38,H,7,1
OC34,H,26,0
OC30,H,21,1
OC29,H,7,1
OC255,H,26,0
OC250,H,26,0
OC249,H,26,0
OC246,H,4,1
OC243,H,25,0
OC242,H,16,1
OC241,H,21,1
OC235,H,24,1
OC234,H,7,1
OC231,H,26,0
OC222,H,26,0
OC217,H,26,0
OC212,H,5,1
OC211,H,8,1
OC21,H,19,1
OC208,H,26,0
OC206,H,1,1
OC196,H,19,1
OC194,H,26,0
OC186,H,26,0
OC182,H,26,0
OC174,H,17,1
OC170,H,6,1
OC168,H,26,0
OC167,H,7,1
OC155,H,26,0
OC151,H,26,0
OC144,H,11,1
OC140,H,25,1
OC136,H,6,1
OC131,H,7,0
OC129,H,24,1
OC120,H,20,1
OC116,H,22,1
OC109,H,26,0
OC107,H,26,0
OC101,H,26,0
OC100,H,26,0
OC10,H,26,0
OC1,H,26,0
