id,sex,num_timesinarena,coveredy_n,sequence_id,sequence_num,state
13.1,F,1,Y,1,1,NR
13.1,F,1,Y,1,2,TA
13.1,F,1,Y,1,3,TA
13.1,F,1,Y,1,4,T
2.2,F,1,Y,1,1,NR
2.2,F,1,Y,1,2,J
2.2,F,1,Y,1,3,NR
2.2,F,1,Y,1,4,J
2.2,F,1,Y,1,1,NR
2.2,F,1,Y,1,5,TO
2.2,F,1,Y,1,6,TO
2.2,F,1,Y,1,7,TO
2.2,F,1,Y,1,8,TO
2.2,F,1,Y,1,9,TA
45.8,F,4,Y,2,1,J
45.8,F,4,Y,2,2,J
45.8,F,4,Y,2,3,S
45.8,F,4,Y,2,4,RM
45.8,F,4,Y,2,1,S
45.8,F,4,Y,2,5,RM
45.8,F,4,Y,2,6,S
45.8,F,4,Y,2,7,RM
45.8,F,4,Y,2,8,S
45.8,F,4,Y,2,9,TA
45.8,F,4,Y,2,10,J
45.8,F,4,Y,2,11,S
45.8,F,4,Y,2,12,RM
45.8,F,4,Y,2,13,S
45.8,F,4,Y,2,14,RM
45.8,F,4,Y,2,15,TA
45.8,F,4,Y,2,16,R
45.8,F,4,Y,2,17,P
41.9,F,4,Y,2,1,J
41.9,F,4,Y,2,2,TA
41.9,F,4,Y,2,3,S
41.9,F,4,Y,2,4,RM
41.9,F,4,Y,2,1,J
41.9,F,4,Y,2,5,J
41.9,F,4,Y,2,6,TA
41.9,F,4,Y,2,7,S
41.9,F,4,Y,2,8,TA
41.9,F,4,Y,2,9,TA
41.9,F,4,Y,2,10,TA
41.9,F,4,Y,2,11,TA
41.9,F,4,Y,2,12,S
41.9,F,4,Y,2,13,RM
41.9,F,4,Y,2,14,S
41.9,F,4,Y,2,15,S
41.9,F,4,Y,2,16,J
41.9,F,4,Y,2,17,J
41.9,F,4,Y,2,18,TO
41.9,F,4,Y,2,19,TO
41.9,F,4,Y,2,20,S
41.9,F,4,Y,2,21,RM
41.9,F,4,Y,2,22,TA
48.1,F,3,N,2,1,J
48.1,F,3,N,2,2,J
48.1,F,3,N,2,3,J
48.1,F,3,N,2,4,TA
48.1,F,3,N,2,1,J
48.1,F,3,N,2,5,S
48.1,F,3,N,2,6,R
48.1,F,3,N,2,7,S
48.1,F,3,N,2,8,R
48.1,F,3,N,2,9,S
48.1,F,3,N,2,10,R
48.1,F,3,N,2,11,P
48.1,F,3,N,2,12,TO
48.1,F,3,N,2,13,S
48.1,F,3,N,2,14,S
48.1,F,3,N,2,15,R
48.1,F,3,N,2,16,P
48.1,F,3,N,2,17,S
48.1,F,3,N,2,18,CM
48.1,F,3,N,2,19,S
48.1,F,3,N,2,20,J
48.1,F,3,N,2,21,CM
48.1,F,3,N,2,22,S
48.1,F,3,N,2,23,J
48.1,F,3,N,2,24,CM
48.1,F,3,N,2,25,S
48.1,F,3,N,2,26,J
48.1,F,3,N,2,27,S
48.1,F,3,N,2,28,P
48.1,F,3,N,2,29,S
48.1,F,3,N,2,30,R
48.1,F,3,N,2,31,P
48.1,F,3,N,2,32,S
48.1,F,3,N,2,33,S
48.1,F,3,N,2,34,S
48.1,F,3,N,2,35,S
48.1,F,3,N,2,36,P
48.1,F,3,N,2,37,S
48.1,F,3,N,2,38,S
48.1,F,3,N,2,39,R
48.1,F,3,N,2,40,P
48.1,F,3,N,2,41,S
48.1,F,3,N,2,42,S
48.1,F,3,N,2,43,TO
48.1,F,3,N,2,44,TO
48.1,F,3,N,2,45,S
48.1,F,3,N,2,46,TO
48.1,F,3,N,2,47,S
48.1,F,3,N,2,48,S
48.1,F,3,N,2,49,TO
48.1,F,3,N,2,50,S
48.1,F,3,N,2,51,TO
48.1,F,3,N,2,52,S
48.1,F,3,N,2,53,S
48.1,F,3,N,2,54,R
48.1,F,3,N,2,55,S
48.1,F,3,N,2,56,P
48.1,F,3,N,2,57,S
48.1,F,3,N,2,58,S
48.1,F,3,N,2,59,S
48.1,F,3,N,2,60,S
48.1,F,3,N,2,61,S
48.1,F,3,N,2,62,P
48.1,F,3,N,2,63,S
48.1,F,3,N,2,64,S
48.1,F,3,N,2,65,S
48.1,F,3,N,2,66,CM
48.1,F,3,N,2,67,R
7.9,F,3,Y,1,1,J
7.9,F,3,Y,1,2,J
7.9,F,3,Y,1,3,J
7.9,F,3,Y,1,4,J
7.9,F,3,Y,1,5,J
7.9,F,3,Y,1,6,J
7.9,F,3,Y,1,7,J
7.9,F,3,Y,1,8,J
7.9,F,3,Y,1,9,J
7.9,F,3,Y,1,10,J
7.9,F,3,Y,1,11,R
7.9,F,3,Y,1,12,P
7.9,F,3,Y,1,13,TA
7.9,F,3,Y,1,14,S
7.9,F,3,Y,1,15,R
7.9,F,3,Y,1,16,S
7.9,F,3,Y,1,17,R
7.9,F,3,Y,1,18,P
7.9,F,3,Y,1,19,J
7.9,F,3,Y,1,20,TA
7.9,F,3,Y,1,21,S
7.9,F,3,Y,1,22,R
7.9,F,3,Y,1,23,J
7.9,F,3,Y,1,24,R
7.9,F,3,Y,1,25,P
7.9,F,3,Y,1,26,J
7.9,F,3,Y,1,27,TO
7.9,F,3,Y,1,28,J
7.9,F,3,Y,1,29,P
7.9,F,3,Y,1,30,S
7.9,F,3,Y,1,31,TA
7.9,F,3,Y,1,32,S
7.9,F,3,Y,1,33,S
7.9,F,3,Y,1,34,R
7.9,F,3,Y,1,35,S
7.9,F,3,Y,1,36,P
7.9,F,3,Y,1,37,S
7.9,F,3,Y,1,38,S
7.9,F,3,Y,1,39,S
7.9,F,3,Y,1,40,R
7.9,F,3,Y,1,41,S
7.9,F,3,Y,1,42,R
7.9,F,3,Y,1,43,S
7.9,F,3,Y,1,44,S
7.9,F,3,Y,1,45,S
7.9,F,3,Y,1,46,S
7.9,F,3,Y,1,47,CM
7.9,F,3,Y,1,48,S
7.9,F,3,Y,1,49,S
7.9,F,3,Y,1,50,CM
7.9,F,3,Y,1,51,CM
7.9,F,3,Y,1,52,S
7.9,F,3,Y,1,53,R
8.1,F,3,Y,2,1,J
8.1,F,3,Y,2,2,TA
8.1,F,3,Y,2,3,S
8.1,F,3,Y,2,4,S
8.1,F,3,Y,2,5,CM
8.1,F,3,Y,2,6,S
8.1,F,3,Y,2,7,CM
8.1,F,3,Y,2,8,RM
8.1,F,3,Y,2,9,J
8.1,F,3,Y,2,10,J
8.1,F,3,Y,2,11,J
8.1,F,3,Y,2,12,S
8.1,F,3,Y,2,13,CM
8.1,F,3,Y,2,14,RM
8.1,F,3,Y,2,15,S
8.1,F,3,Y,2,16,RM
8.1,F,3,Y,2,17,S
8.1,F,3,Y,2,18,CM
8.1,F,3,Y,2,19,S
8.1,F,3,Y,2,20,R
8.1,F,3,Y,2,21,P
8.1,F,3,Y,2,22,TA
8.1,F,3,Y,2,23,S
8.1,F,3,Y,2,24,P
8.1,F,3,Y,2,25,TO
8.1,F,3,Y,2,26,TA
8.1,F,3,Y,2,27,J
8.1,F,3,Y,2,28,J
8.1,F,3,Y,2,29,J
8.1,F,3,Y,2,30,TO
8.1,F,3,Y,2,31,J
8.1,F,3,Y,2,32,J
8.1,F,3,Y,2,33,TA
8.1,F,3,Y,2,34,TA
8.1,F,3,Y,2,35,S
8.1,F,3,Y,2,36,R
8.1,F,3,Y,2,37,S
8.1,F,3,Y,2,38,TA
8.1,F,3,Y,2,39,S
8.1,F,3,Y,2,40,R
8.1,F,3,Y,2,41,P
