sample_id,duration,lower_bound,upper_bound,treatment,died,sex,lifestage
OC98,7,6,7,H,1,female,adult
OC93,26,26,100000,H,0,female,adult
OC92,26,26,100000,H,0,male,adult
OC78,26,26,100000,H,0,female,adult
OC73,1,0,1,H,1,male,adult
OC6,18,17,18,H,1,female,adult
OC57,26,26,100000,H,0,male,adult
OC40,26,26,100000,H,0,female,adult
OC38,7,6,7,H,1,female,adult
OC34,26,26,100000,H,0,female,adult
OC29,7,6,7,H,1,male,adult
OC255,26,26,100000,H,0,female,adult
OC250,26,26,100000,H,0,female,adult
OC249,26,26,100000,H,0,female,adult
OC246,4,3,4,H,1,female,adult
OC243,25,25,100000,H,0,female,adult
OC242,16,15,16,H,1,male,adult
OC241,21,20,21,H,1,female,adult
OC235,24,23,24,H,1,female,adult
OC234,7,6,7,H,1,female,adult
OC231,26,26,100000,H,0,female,adult
OC222,26,26,100000,H,0,female,adult
OC217,26,26,100000,H,0,female,adult
OC212,5,4,5,H,1,male,adult
OC211,8,7,8,H,1,female,adult
OC208,26,26,100000,H,0,female,adult
OC206,1,0,1,H,1,female,adult
OC196,19,18,19,H,1,female,adult
OC194,26,26,100000,H,0,female,adult
OC186,26,26,100000,H,0,female,adult
OC182,26,26,100000,H,0,female,adult
OC174,17,16,17,H,1,male,adult
OC170,6,5,6,H,1,male,adult
OC168,26,26,100000,H,0,female,adult
OC155,26,26,100000,H,0,female,adult
OC151,26,26,100000,H,0,female,adult
OC140,25,24,25,H,1,male,adult
OC136,6,5,6,H,1,female,adult
OC129,24,23,24,H,1,male,adult
OC120,20,19,20,H,1,male,adult
OC116,22,21,22,H,1,male,adult
OC109,26,26,100000,H,0,female,adult
OC107,26,26,100000,H,0,female,adult
OC101,26,26,100000,H,0,female,adult
OC100,26,26,100000,H,0,female,adult
OC10,26,26,100000,H,0,female,adult
OC1,26,26,100000,H,0,male,adult
OC9,3,2,3,C,1,male,adult
OC95,26,26,100000,C,0,male,adult
OC91,26,26,100000,C,0,female,adult
OC85,26,26,100000,C,0,female,adult
OC81,26,26,100000,C,0,female,adult
OC74,26,26,100000,C,0,male,adult
OC7,26,26,100000,C,0,male,adult
OC64,26,26,100000,C,0,female,adult
OC44,26,26,100000,C,0,female,adult
OC41,26,26,100000,C,0,male,adult
OC254,26,26,100000,C,0,male,adult
OC253,26,26,100000,C,0,female,adult
OC251,26,26,100000,C,0,female,adult
OC25,26,26,100000,C,0,male,adult
OC240,26,26,100000,C,0,male,adult
OC238,26,26,100000,C,0,female,adult
OC232,26,26,100000,C,0,female,adult
OC230,26,26,100000,C,0,female,adult
OC23,26,26,100000,C,0,male,adult
OC229,26,26,100000,C,0,female,adult
OC225,26,26,100000,C,0,female,adult
OC221,26,26,100000,C,0,female,adult
OC218,26,26,100000,C,0,female,adult
OC210,26,26,100000,C,0,female,adult
OC209,26,26,100000,C,0,female,adult
OC20,26,26,100000,C,0,female,adult
OC193,26,26,100000,C,0,male,adult
OC19,8,7,8,C,1,female,adult
OC185,26,26,100000,C,0,female,adult
OC184,26,26,100000,C,0,female,adult
OC183,26,26,100000,C,0,male,adult
OC179,26,26,100000,C,0,male,adult
OC178,26,26,100000,C,0,female,adult
OC16,13,12,13,C,1,female,adult
OC158,26,26,100000,C,0,female,adult
OC146,26,26,100000,C,0,male,adult
OC137,26,26,100000,C,0,male,adult
OC121,26,26,100000,C,0,female,adult
OC114,18,17,18,C,1,female,adult
OC106,26,26,100000,C,0,male,adult
OC97,13,0,13,W,1,female,adult
